Name	Category	Description	Included
jdk.OSInformation	Operating System		FALSE
jdk.ObjectAllocationSample	Java Application		FALSE
jdk.ObjectCount	{"Java Virtual Machine", "GC", "Detailed"}		FALSE
jdk.ObjectCountAfterGC	{"Java Virtual Machine", "GC", "Detailed"}		FALSE
jdk.OldGarbageCollection	{"Java Virtual Machine", "GC", "Collector"}	Extra information specific to Old Garbage Collections	FALSE
jdk.OldObjectSample	{"Java Virtual Machine", "Profiling"}	A potential memory leak	FALSE
jdk.PSHeapSummary	{"Java Virtual Machine", "GC", "Heap"}	Parallel Scavenge Heap Summary	FALSE
jdk.ParallelOldGarbageCollection	{"Java Virtual Machine", "GC", "Collector"}	Extra information specific to Parallel Old Garbage Collections	FALSE
jdk.PhysicalMemory	{"Operating System", "Memory"}	OS Physical Memory	FALSE
jdk.PlaceholderTableStatistics	{"Java Virtual Machine", "Runtime", "Tables"}		FALSE
dk.ProtectionDomainCacheTableStatistics	{"Java Virtual Machine", "Runtime", "Tables"}		FALSE
jdk.ShenandoahHeapRegionInformation	{"Java Virtual Machine", "GC", "Detailed"}	Information about a specific heap region in the Shenandoah GC	FALSE
jdk.ShenandoahHeapRegionStateChange	{"Java Virtual Machine", "GC", "Detailed"}	Information about a Shenandoah heap region state change	FALSE
jdk.StringTableStatistics	{"Java Virtual Machine", "Runtime", "Tables"}		FALSE
jdk.SweepCodeCache	{"Java Virtual Machine", "Code Sweeper"}		FALSE
jdk.SymbolTableStatistics	{"Java Virtual Machine", "Runtime", "Tables"}		FALSE
jdk.TLSHandshake	{"Java Development Kit", "Security"}	Parameters used in TLS Handshake	FALSE
jdk.TenuringDistribution	{"Java Virtual Machine", "GC", "Detailed"}		FALSE
jdk.ThreadAllocationStatistics	{"Java Application", "Statistics"}		FALSE
jdk.ThreadCPULoad	{"Operating System", "Processor"}		FALSE
jdk.ThreadContextSwitchRate	{"Operating System", "Processor"}		FALSE
jdk.VirtualizationInformation	Operating System		FALSE
jdk.X509Certificate	{"Java Development Kit", "Security"}	Details of X.509 Certificate parsed by JDK	FALSE
jdk.X509Validation	{"Java Development Kit", "Security"}	Serial numbers from X.509 Certificates forming chain of trust	FALSE
jdk.YoungGarbageCollection	{"Java Virtual Machine", "GC", "Collector"}	Extra information specific to Young Garbage Collections	FALSE
jdk.YoungGenerationConfiguration	{"Java Virtual Machine", "GC", "Configuration"}	The configuration of the young generation of the garbage collected heap	FALSE
jdk.ZAllocationStall	{"Java Virtual Machine", "GC", "Detailed"}	Time spent waiting for memory to become available	FALSE
jdk.ZStatisticsCounter	{"Java Virtual Machine", "GC", "Detailed"}	ZGC Statistics Counter	FALSE
jdk.ZStatisticsSampler	{"Java Virtual Machine", "GC", "Detailed"}	ZGC Statistics Sampler	FALSE
