Name,Category,Description
jdk.SweepCodeCache,"{""Java Virtual Machine"", ""Code Sweeper""}",
jdk.SymbolTableStatistics,"{""Java Virtual Machine"", ""Runtime"", ""Tables""}",
jdk.SyncOnValueBasedClass,"{""Java Virtual Machine"", ""Diagnostics""}",
jdk.SystemGC,"{""Java Virtual Machine"", ""GC"", ""Collector""}",
jdk.SystemProcess,Operating System,
jdk.TLSHandshake,"{""Java Development Kit"", ""Security""}",Parameters used in TLS Handshake
jdk.TenuringDistribution,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",
jdk.ThreadAllocationStatistics,"{""Java Application"", ""Statistics""}",
jdk.ThreadCPULoad,"{""Operating System"", ""Processor""}",
jdk.ThreadContextSwitchRate,"{""Operating System"", ""Processor""}",
jdk.ThreadDump,"{""Java Virtual Machine"", ""Runtime""}",
jdk.ThreadEnd,Java Application,Java Thread End
jdk.ThreadPark,Java Application,Java Thread Park
jdk.ThreadSleep,Java Application,Java Thread Sleep
jdk.ThreadStart,Java Application,Java Thread Start
jdk.UnsignedIntFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.UnsignedIntFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.UnsignedLongFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.UnsignedLongFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.VirtualizationInformation,Operating System,
jdk.X509Certificate,"{""Java Development Kit"", ""Security""}",Details of X.509 Certificate parsed by JDK
jdk.X509Validation,"{""Java Development Kit"", ""Security""}",Serial numbers from X.509 Certificates forming chain of trust
jdk.YoungGarbageCollection,"{""Java Virtual Machine"", ""GC"", ""Collector""}",Extra information specific to Young Garbage Collections
jdk.YoungGenerationConfiguration,"{""Java Virtual Machine"", ""GC"", ""Configuration""}",The configuration of the young generation of the garbage collected heap
jdk.ZAllocationStall,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Time spent waiting for memory to become available
jdk.ZPageAllocation,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Allocation of a ZPage
jdk.ZRelocationSet,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",ZGC Relocation Set
jdk.ZRelocationSetGroup,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",ZGC Relocation Set Group
jdk.ZStatisticsCounter,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",ZGC Statistics Counter
jdk.ZStatisticsSampler,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",ZGC Statistics Sampler
jdk.ZThreadPhase,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",ZGC Thread Phase
jdk.ZUncommit,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Uncommitting of memory
jdk.ZUnmap,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Unmapping of memory
